hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
2904,HS92,302B,Productos químicos orgánicos,302B,Productos químicos orgánicos,aggregate-broad-chapter,yes,2,SERVQUIM SA; FACYT,registry-declared,45631.33333489781,136894.00000469343,4.646812632392055e-06,Ácido dodecilbencenosulfónico y sus sales,1,45631.33333489781
3302,HS92,302F,"Aceites esenciales y resinoides (perfume, cosmética, tocador)",302F,"Aceites esenciales y resinoides (perfume, cosmética, tocador)",clean,yes,1,ALFA ARGENTINA SA,registry-declared,41028.73333474001,123086.20000422002,4.178112328028512e-06,Mezclas de sustancias odoríficas utilizadas como materias básicas en las industrias alimentarias o de bebidas,3,41028.73333474001
0204,HS92,201AB,Carne ovina o caprina,201AB,Carne ovina o caprina,clean,yes,2,PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES; SAN JAVIER CAPRINOS SRL,registry-declared,39500.24666802094,118500.7400040628,4.022460703754778e-06,Carne de animales de la especie caprina,1,39500.24666802094
8511,HS92,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,aggregate-broad-chapter,yes,2,FABRICA DE COLECTORES; NOSSO,targeted+registry-declared,38379.19000131583,115137.57000394748,3.908299229615064e-06,"Dispositivos electrónicos de encendido,numéricos(digitales)utilizados en motores",7,38379.19000131583
3301,HS92,302F,"Aceites esenciales y resinoides (perfume, cosmética, tocador)",302F,"Aceites esenciales y resinoides (perfume, cosmética, tocador)",clean,yes,0,,,36596.66666792139,109790.00000376416,3.7267780831177688e-06,Subproductos terpénicos de aceites esenciales,2,36596.66666792139
8526,HS92,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,aggregate-broad-chapter,yes,2,ABELARDO CUFFIA SA; CONTROLNET,registry-declared,35215.746667874046,105647.24000362214,3.586153735074987e-06,Aparatos de radionavegación,3,35215.746667874046
2715,HS92,499,Resto de combustibles ,499,Resto de combustibles ,aggregate-resto,yes,0,,,34539.16666785085,103617.50000355254,3.517255014367933e-06,"Mezclas bituminosas a base de asfalto,betún natural o de petróleo,alquitrán o brea",1,34539.16666785085
2103,HS92,299,Resto de MOA (Manufacturas de Origen Agropecuario),299,Resto de MOA (Manufacturas de Origen Agropecuario),aggregate-resto,yes,7,AZAFRÁN RUEDO; DULCOR; PORTA HNOS S.A.; MOLÉ ALIMENTOS; NUTRICIÓN PROFESIONAL S.R.L.,registry-declared,34158.210001171115,102474.63000351336,3.4784607446907966e-06,"Preparaciones p/salsas y salsas preparadas ncop.,en envases <= a 1kg.",6,34158.210001171115
5704,HS92,307E,"Alfombras, tapices, terciopelo, felpas",307E,"Alfombras, tapices, terciopelo, felpas",clean,yes,1,BLACK OVEJA,registry-declared,34140.08666783716,102420.26000351147,3.4766151765663854e-06,"Alfombras y revestimientos p/suelos de fieltro,no expresado ni comprendido en otra parte",1,34140.08666783716
5603,HS92,307F,"Guatas y filtros, cordelería, tejidos especiales",307F,"Guatas y filtros, cordelería, tejidos especiales",clean,yes,0,,,34067.623334501346,102202.87000350404,3.4692359590831086e-06,"Telas s/tejer de peso > a 25 g/m2 y <= a 70 g/m2, de polipropileno",3,34067.623334501346
8609,HS92,313A,Vehículos y materiales para vías férreas y sus partes,313A,Vehículos y materiales para vías férreas y sus partes,clean,yes,1,SCORZA,registry-declared,33768.680001157765,101306.04000347327,3.4387934197964477e-06,"Contenedores,especialmente concebidos y equipados p/varios medios de transporte",1,33768.680001157765
8530,HS92,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,aggregate-broad-chapter,yes,0,,,32865.06666779345,98595.20000338036,3.346775029243219e-06,"Aparatos eléctricos de señalización,seguridad,control o mando,digitales,p/control de tráfico de automotores",1,32865.06666779345
2517,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,0,,,32051.33333443222,96154.00000329663,3.2639094617370065e-06,"Gránulos,tasquiles y polvo de mármol",3,32051.33333443222
4418,HS92,399Z,Resto de MOI,399Z,Resto de MOI,aggregate-resto,yes,6,KARIKAL; GALLO Y MANCA SRL; MADERPAR; MARETICH ABERTURAS; MATTEUCCI,registry-declared,31499.720001079968,94499.16000323991,3.2077365731035547e-06,"Puertas y sus marcos, contramarcos y umbrales, de maderas no tropicales",3,31499.720001079968
